sa2_code,sa2_name,area_m2,total_cars
115011553,Castle Hill - Central,4.1512,5835.0
115011554,Castle Hill - East,2.072,4309.0
115011555,Castle Hill - North,6.8149,9183.0
115011556,Castle Hill - South,4.1277,7336.0
115011557,Castle Hill - West,1.6363,4029.0
115011558,Cherrybrook,8.2514,12473.0
115011621,Kellyville - East,5.7375,14211.0
115011622,Kellyville - West,4.9945,4587.0
115021297,Dural - Kenthurst - Wisemans Ferry,377.5396,20312.0
115021298,Galston - Laughtondale,191.699,5016.0
115031299,Bilpin - Colo - St Albans,2160.1601,2750.0
115031300,Kurrajong Heights - Ebenezer,331.85,21692.0
115041301,Pitt Town - McGraths Hill,80.503,12025.0
115041623,Box Hill - Nelson,21.0706,1197.0
115041624,North Kellyville,8.0039,3994.0
115041625,Rouse Hill - Beaumont Hills,8.6462,14022.0
116011303,Blacktown (East) - Kings Park,7.9753,12875.0
116011304,Blacktown (North) - Marayong,7.3828,13018.0
116011306,Doonside - Woodcroft,9.9106,13775.0
116011307,Lalor Park - Kings Langley,11.7998,19448.0
116011560,Blacktown - South,3.3594,9402.0
116011561,Blacktown - West,4.6753,12290.0
